workload_id,input_kind,fold,read_count
split_001__strict_current_baseline,feature,train,0
split_001__strict_current_baseline,feature,validation,0
split_001__strict_current_baseline,feature,test,0
split_001__strict_current_baseline,label,train,0
split_001__strict_current_baseline,label,validation,0
split_001__strict_current_baseline,label,test,0
split_001__current_plus_existing_conditional_signal,feature,train,0
split_001__current_plus_existing_conditional_signal,feature,validation,0
split_001__current_plus_existing_conditional_signal,feature,test,0
split_001__current_plus_existing_conditional_signal,label,train,0
split_001__current_plus_existing_conditional_signal,label,validation,0
split_001__current_plus_existing_conditional_signal,label,test,0
split_001__broad_data_qualified,feature,train,0
split_001__broad_data_qualified,feature,validation,0
split_001__broad_data_qualified,feature,test,0
split_001__broad_data_qualified,label,train,0
split_001__broad_data_qualified,label,validation,0
split_001__broad_data_qualified,label,test,0
split_002__strict_current_baseline,feature,train,48
split_002__strict_current_baseline,feature,validation,32
split_002__strict_current_baseline,feature,test,0
split_002__strict_current_baseline,label,train,3
split_002__strict_current_baseline,label,validation,2
split_002__strict_current_baseline,label,test,0
split_002__current_plus_existing_conditional_signal,feature,train,84
split_002__current_plus_existing_conditional_signal,feature,validation,56
split_002__current_plus_existing_conditional_signal,feature,test,0
split_002__current_plus_existing_conditional_signal,label,train,3
split_002__current_plus_existing_conditional_signal,label,validation,2
split_002__current_plus_existing_conditional_signal,label,test,0
split_002__broad_data_qualified,feature,train,90
split_002__broad_data_qualified,feature,validation,60
split_002__broad_data_qualified,feature,test,0
split_002__broad_data_qualified,label,train,3
split_002__broad_data_qualified,label,validation,2
split_002__broad_data_qualified,label,test,0
