outer_split_id,method,factor,factor_column,feature_order,cluster_id,direction,selection_frequency,upstream_fdr_q_value,raw_weight,weight
split_001,equal_weight,alpha158_BETA10,alpha158_BETA10,0,cluster_037,-1,1.0,0.0198654848336377,1.0,0.020833333333333336
split_001,equal_weight,alpha158_BETA20,alpha158_BETA20,1,cluster_030,-1,1.0,0.0070536323834476,1.0,0.020833333333333336
split_001,equal_weight,alpha158_BETA5,alpha158_BETA5,2,cluster_036,-1,1.0,0.0429920956236745,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CNTD30,alpha158_CNTD30,3,cluster_026,-1,1.0,0.037056013293637,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CNTP60,alpha158_CNTP60,4,cluster_027,-1,0.6666666666666666,0.0110337775432115,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORD10,alpha158_CORD10,5,cluster_034,-1,1.0,0.0211497363396097,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORD20,alpha158_CORD20,6,cluster_024,-1,1.0,0.0043398160281277,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORD5,alpha158_CORD5,7,cluster_035,-1,1.0,0.0393136275489216,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORD60,alpha158_CORD60,8,cluster_025,-1,1.0,0.0056320084409972,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORR10,alpha158_CORR10,9,cluster_015,-1,1.0,0.0146886080952015,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORR20,alpha158_CORR20,10,cluster_016,-1,1.0,0.037056013293637,1.0,0.020833333333333336
split_001,equal_weight,alpha158_CORR5,alpha158_CORR5,11,cluster_010,-1,1.0,0.0083961264865787,1.0,0.020833333333333336
split_001,equal_weight,alpha158_HIGH0,alpha158_HIGH0,12,cluster_002,-1,1.0,0.0134865134865134,1.0,0.020833333333333336
split_001,equal_weight,alpha158_IMIN20,alpha158_IMIN20,13,cluster_029,1,1.0,0.0097094189103874,1.0,0.020833333333333336
split_001,equal_weight,alpha158_KLEN,alpha158_KLEN,14,cluster_001,-1,1.0,0.0043398160281277,1.0,0.020833333333333336
split_001,equal_weight,alpha158_KLOW,alpha158_KLOW,15,cluster_005,-1,1.0,0.0030657415978516,1.0,0.020833333333333336
split_001,equal_weight,alpha158_KMID,alpha158_KMID,16,cluster_044,-1,0.6666666666666666,0.0122629663914067,1.0,0.020833333333333336
split_001,equal_weight,alpha158_KUP,alpha158_KUP,17,cluster_004,-1,1.0,0.0043398160281277,1.0,0.020833333333333336
split_001,equal_weight,alpha158_LOW0,alpha158_LOW0,18,cluster_043,1,1.0,0.0030657415978516,1.0,0.020833333333333336
split_001,equal_weight,alpha158_MAX5,alpha158_MAX5,19,cluster_003,-1,1.0,0.0236700799200799,1.0,0.020833333333333336
split_001,equal_weight,alpha158_MIN10,alpha158_MIN10,20,cluster_038,1,1.0,0.0030657415978516,1.0,0.020833333333333336
split_001,equal_weight,alpha158_QTLD5,alpha158_QTLD5,21,cluster_042,1,1.0,0.0030657415978516,1.0,0.020833333333333336
split_001,equal_weight,alpha158_QTLD60,alpha158_QTLD60,22,cluster_028,1,1.0,0.0030657415978516,1.0,0.020833333333333336
