factor,split_id,selected,selection_eligible,eligible,eligibility_reason,selection_reason,frozen_direction,fdr_bh_q_value
amount_mean_20|20d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|10d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|20d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|10d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|20d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
std_20|10d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
std_20|20d_t1,split_011,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.381102<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
amount_mean_20|10d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
amount_mean_20|20d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|10d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
downside_std_20|20d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
rev_20_exclude_5|10d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_20_exclude_5|20d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|10d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
rev_5|20d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,1,
std_20|10d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
std_20|20d_t1,split_012,False,False,False,validation_valid_ic_count=0<40;test_valid_ic_count=0<40;train_coverage=0.358873<0.8;validation_coverage=0<0.8;test_coverage=0<0.8,direction_mismatch;insufficient_dates;selection_ineligible;weak_validation_ic;fdr_not_passed,-1,
