api,ts_code,retrieval_mode,segment_id,rows,row_cap_reached,page_terminal
cashflow,000858.SZ,segmented_period,20100930_0,1,False,True
cashflow,000858.SZ,segmented_period,20101231_0,1,False,True
cashflow,000858.SZ,segmented_period,20110331_0,1,False,True
cashflow,000858.SZ,segmented_period,20110630_0,1,False,True
cashflow,000858.SZ,segmented_period,20110930_0,1,False,True
cashflow,000858.SZ,segmented_period,20111231_0,1,False,True
cashflow,000858.SZ,segmented_period,20120331_0,1,False,True
cashflow,000858.SZ,segmented_period,20120630_0,1,False,True
cashflow,000858.SZ,segmented_period,20120930_0,1,False,True
cashflow,000858.SZ,segmented_period,20121231_0,1,False,True
cashflow,000858.SZ,segmented_period,20130331_0,1,False,True
cashflow,000858.SZ,segmented_period,20130630_0,1,False,True
cashflow,000858.SZ,segmented_period,20130930_0,1,False,True
cashflow,000858.SZ,segmented_period,20131231_0,1,False,True
cashflow,000858.SZ,segmented_period,20140331_0,1,False,True
cashflow,000858.SZ,segmented_period,20140630_0,1,False,True
cashflow,000858.SZ,segmented_period,20140930_0,1,False,True
cashflow,000858.SZ,segmented_period,20141231_0,1,False,True
cashflow,000858.SZ,segmented_period,20150331_0,1,False,True
cashflow,000858.SZ,segmented_period,20150630_0,1,False,True
cashflow,000858.SZ,segmented_period,20150930_0,1,False,True
cashflow,000858.SZ,segmented_period,20151231_0,1,False,True
cashflow,000858.SZ,segmented_period,20160331_0,1,False,True
cashflow,000858.SZ,segmented_period,20160630_0,1,False,True
cashflow,000858.SZ,segmented_period,20160930_0,1,False,True
cashflow,000858.SZ,segmented_period,20161231_0,1,False,True
cashflow,000858.SZ,segmented_period,20170331_0,1,False,True
cashflow,000858.SZ,segmented_period,20170630_0,1,False,True
cashflow,000858.SZ,segmented_period,20170930_0,1,False,True
cashflow,000858.SZ,segmented_period,20171231_0,1,False,True
fina_indicator,000858.SZ,paginated_broad,broad_0,100,True,False
fina_indicator,000858.SZ,paginated_broad,broad_1,80,False,True
fina_indicator,000858.SZ,segmented_period,20100331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20100630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20100930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20101231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20110331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20110630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20110930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20111231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20120331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20120630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20120930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20121231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20130331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20130630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20130930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20131231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20140331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20140630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20140930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20141231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20150331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20150630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20150930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20151231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20160331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20160630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20160930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20161231_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20170331_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20170630_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20170930_0,2,False,True
fina_indicator,000858.SZ,segmented_period,20171231_0,2,False,True
income,000002.SZ,paginated_broad,broad_0,97,False,True
income,000002.SZ,segmented_period,20100331_0,1,False,True
income,000002.SZ,segmented_period,20100630_0,1,False,True
income,000002.SZ,segmented_period,20100930_0,1,False,True
income,000002.SZ,segmented_period,20101231_0,1,False,True
income,000002.SZ,segmented_period,20110331_0,1,False,True
income,000002.SZ,segmented_period,20110630_0,1,False,True
income,000002.SZ,segmented_period,20110930_0,1,False,True
income,000002.SZ,segmented_period,20111231_0,1,False,True
income,000002.SZ,segmented_period,20120331_0,1,False,True
income,000002.SZ,segmented_period,20120630_0,1,False,True
income,000002.SZ,segmented_period,20120930_0,1,False,True
income,000002.SZ,segmented_period,20121231_0,1,False,True
income,000002.SZ,segmented_period,20130331_0,1,False,True
income,000002.SZ,segmented_period,20130630_0,1,False,True
income,000002.SZ,segmented_period,20130930_0,1,False,True
income,000002.SZ,segmented_period,20131231_0,1,False,True
income,000002.SZ,segmented_period,20140331_0,1,False,True
income,000002.SZ,segmented_period,20140630_0,1,False,True
income,000002.SZ,segmented_period,20140930_0,1,False,True
income,000002.SZ,segmented_period,20141231_0,1,False,True
income,000002.SZ,segmented_period,20150331_0,1,False,True
income,000002.SZ,segmented_period,20150630_0,1,False,True
income,000002.SZ,segmented_period,20150930_0,1,False,True
income,000002.SZ,segmented_period,20151231_0,1,False,True
income,000002.SZ,segmented_period,20160331_0,1,False,True
income,000002.SZ,segmented_period,20160630_0,1,False,True
income,000002.SZ,segmented_period,20160930_0,1,False,True
income,000002.SZ,segmented_period,20161231_0,1,False,True
income,000002.SZ,segmented_period,20170331_0,1,False,True
income,000002.SZ,segmented_period,20170630_0,1,False,True
income,000002.SZ,segmented_period,20170930_0,1,False,True
income,000002.SZ,segmented_period,20171231_0,1,False,True
balancesheet,000002.SZ,paginated_broad,broad_0,100,True,False
balancesheet,000002.SZ,paginated_broad,broad_1,23,False,True
balancesheet,000002.SZ,segmented_period,20100331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20100630_0,2,False,True
balancesheet,000002.SZ,segmented_period,20100930_0,1,False,True
balancesheet,000002.SZ,segmented_period,20101231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20110331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20110630_0,1,False,True
balancesheet,000002.SZ,segmented_period,20110930_0,2,False,True
balancesheet,000002.SZ,segmented_period,20111231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20120331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20120630_0,2,False,True
balancesheet,000002.SZ,segmented_period,20120930_0,2,False,True
balancesheet,000002.SZ,segmented_period,20121231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20130331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20130630_0,2,False,True
balancesheet,000002.SZ,segmented_period,20130930_0,1,False,True
balancesheet,000002.SZ,segmented_period,20131231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20140331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20140630_0,1,False,True
balancesheet,000002.SZ,segmented_period,20140930_0,2,False,True
balancesheet,000002.SZ,segmented_period,20141231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20150331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20150630_0,1,False,True
balancesheet,000002.SZ,segmented_period,20150930_0,1,False,True
balancesheet,000002.SZ,segmented_period,20151231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20160331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20160630_0,2,False,True
balancesheet,000002.SZ,segmented_period,20160930_0,1,False,True
balancesheet,000002.SZ,segmented_period,20161231_0,2,False,True
balancesheet,000002.SZ,segmented_period,20170331_0,1,False,True
balancesheet,000002.SZ,segmented_period,20170630_0,2,False,True
balancesheet,000002.SZ,segmented_period,20170930_0,1,False,True
balancesheet,000002.SZ,segmented_period,20171231_0,2,False,True
cashflow,000002.SZ,paginated_broad,broad_0,71,False,True
cashflow,000002.SZ,segmented_period,20100331_0,1,False,True
cashflow,000002.SZ,segmented_period,20100630_0,1,False,True
cashflow,000002.SZ,segmented_period,20100930_0,1,False,True
cashflow,000002.SZ,segmented_period,20101231_0,1,False,True
cashflow,000002.SZ,segmented_period,20110331_0,1,False,True
cashflow,000002.SZ,segmented_period,20110630_0,1,False,True
cashflow,000002.SZ,segmented_period,20110930_0,1,False,True
cashflow,000002.SZ,segmented_period,20111231_0,1,False,True
cashflow,000002.SZ,segmented_period,20120331_0,1,False,True
cashflow,000002.SZ,segmented_period,20120630_0,1,False,True
cashflow,000002.SZ,segmented_period,20120930_0,1,False,True
cashflow,000002.SZ,segmented_period,20121231_0,1,False,True
cashflow,000002.SZ,segmented_period,20130331_0,1,False,True
cashflow,000002.SZ,segmented_period,20130630_0,1,False,True
cashflow,000002.SZ,segmented_period,20130930_0,1,False,True
cashflow,000002.SZ,segmented_period,20131231_0,1,False,True
cashflow,000002.SZ,segmented_period,20140331_0,1,False,True
cashflow,000002.SZ,segmented_period,20140630_0,1,False,True
cashflow,000002.SZ,segmented_period,20140930_0,1,False,True
cashflow,000002.SZ,segmented_period,20141231_0,1,False,True
cashflow,000002.SZ,segmented_period,20150331_0,1,False,True
cashflow,000002.SZ,segmented_period,20150630_0,1,False,True
cashflow,000002.SZ,segmented_period,20150930_0,1,False,True
cashflow,000002.SZ,segmented_period,20151231_0,1,False,True
cashflow,000002.SZ,segmented_period,20160331_0,1,False,True
cashflow,000002.SZ,segmented_period,20160630_0,1,False,True
cashflow,000002.SZ,segmented_period,20160930_0,1,False,True
cashflow,000002.SZ,segmented_period,20161231_0,1,False,True
cashflow,000002.SZ,segmented_period,20170331_0,1,False,True
cashflow,000002.SZ,segmented_period,20170630_0,1,False,True
cashflow,000002.SZ,segmented_period,20170930_0,1,False,True
cashflow,000002.SZ,segmented_period,20171231_0,1,False,True
fina_indicator,000002.SZ,paginated_broad,broad_0,100,True,False
fina_indicator,000002.SZ,paginated_broad,broad_1,76,False,True
fina_indicator,000002.SZ,segmented_period,20100331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20100630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20100930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20101231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20110331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20110630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20110930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20111231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20120331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20120630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20120930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20121231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20130331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20130630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20130930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20131231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20140331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20140630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20140930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20141231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20150331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20150630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20150930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20151231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20160331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20160630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20160930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20161231_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20170331_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20170630_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20170930_0,2,False,True
fina_indicator,000002.SZ,segmented_period,20171231_0,2,False,True
income,600036.SH,paginated_broad,broad_0,89,False,True
income,600036.SH,segmented_period,20100331_0,1,False,True
income,600036.SH,segmented_period,20100630_0,1,False,True
income,600036.SH,segmented_period,20100930_0,1,False,True
income,600036.SH,segmented_period,20101231_0,1,False,True
income,600036.SH,segmented_period,20110331_0,1,False,True
income,600036.SH,segmented_period,20110630_0,1,False,True
income,600036.SH,segmented_period,20110930_0,1,False,True
income,600036.SH,segmented_period,20111231_0,1,False,True
income,600036.SH,segmented_period,20120331_0,1,False,True
income,600036.SH,segmented_period,20120630_0,1,False,True
income,600036.SH,segmented_period,20120930_0,1,False,True
income,600036.SH,segmented_period,20121231_0,1,False,True
income,600036.SH,segmented_period,20130331_0,1,False,True
income,600036.SH,segmented_period,20130630_0,1,False,True
income,600036.SH,segmented_period,20130930_0,1,False,True
income,600036.SH,segmented_period,20131231_0,1,False,True
income,600036.SH,segmented_period,20140331_0,1,False,True
income,600036.SH,segmented_period,20140630_0,1,False,True
income,600036.SH,segmented_period,20140930_0,1,False,True
income,600036.SH,segmented_period,20141231_0,1,False,True
income,600036.SH,segmented_period,20150331_0,1,False,True
income,600036.SH,segmented_period,20150630_0,1,False,True
income,600036.SH,segmented_period,20150930_0,1,False,True
income,600036.SH,segmented_period,20151231_0,1,False,True
income,600036.SH,segmented_period,20160331_0,1,False,True
income,600036.SH,segmented_period,20160630_0,1,False,True
income,600036.SH,segmented_period,20160930_0,1,False,True
income,600036.SH,segmented_period,20161231_0,1,False,True
income,600036.SH,segmented_period,20170331_0,1,False,True
income,600036.SH,segmented_period,20170630_0,1,False,True
income,600036.SH,segmented_period,20170930_0,1,False,True
income,600036.SH,segmented_period,20171231_0,1,False,True
balancesheet,600036.SH,paginated_broad,broad_0,100,True,False
balancesheet,600036.SH,paginated_broad,broad_1,14,False,True
balancesheet,600036.SH,segmented_period,20100331_0,1,False,True
balancesheet,600036.SH,segmented_period,20100630_0,2,False,True
balancesheet,600036.SH,segmented_period,20100930_0,1,False,True
balancesheet,600036.SH,segmented_period,20101231_0,2,False,True
balancesheet,600036.SH,segmented_period,20110331_0,1,False,True
balancesheet,600036.SH,segmented_period,20110630_0,1,False,True
balancesheet,600036.SH,segmented_period,20110930_0,2,False,True
balancesheet,600036.SH,segmented_period,20111231_0,2,False,True
balancesheet,600036.SH,segmented_period,20120331_0,1,False,True
balancesheet,600036.SH,segmented_period,20120630_0,2,False,True
balancesheet,600036.SH,segmented_period,20120930_0,2,False,True
balancesheet,600036.SH,segmented_period,20121231_0,2,False,True
balancesheet,600036.SH,segmented_period,20130331_0,1,False,True
balancesheet,600036.SH,segmented_period,20130630_0,2,False,True
balancesheet,600036.SH,segmented_period,20130930_0,1,False,True
balancesheet,600036.SH,segmented_period,20131231_0,2,False,True
balancesheet,600036.SH,segmented_period,20140331_0,1,False,True
balancesheet,600036.SH,segmented_period,20140630_0,1,False,True
balancesheet,600036.SH,segmented_period,20140930_0,2,False,True
balancesheet,600036.SH,segmented_period,20141231_0,2,False,True
balancesheet,600036.SH,segmented_period,20150331_0,1,False,True
balancesheet,600036.SH,segmented_period,20150630_0,1,False,True
balancesheet,600036.SH,segmented_period,20150930_0,1,False,True
balancesheet,600036.SH,segmented_period,20151231_0,2,False,True
balancesheet,600036.SH,segmented_period,20160331_0,1,False,True
balancesheet,600036.SH,segmented_period,20160630_0,2,False,True
balancesheet,600036.SH,segmented_period,20160930_0,1,False,True
balancesheet,600036.SH,segmented_period,20161231_0,2,False,True
balancesheet,600036.SH,segmented_period,20170331_0,1,False,True
balancesheet,600036.SH,segmented_period,20170630_0,2,False,True
balancesheet,600036.SH,segmented_period,20170930_0,1,False,True
balancesheet,600036.SH,segmented_period,20171231_0,2,False,True
cashflow,600036.SH,paginated_broad,broad_0,67,False,True
cashflow,600036.SH,segmented_period,20100331_0,1,False,True
cashflow,600036.SH,segmented_period,20100630_0,1,False,True
cashflow,600036.SH,segmented_period,20100930_0,1,False,True
cashflow,600036.SH,segmented_period,20101231_0,1,False,True
cashflow,600036.SH,segmented_period,20110331_0,1,False,True
cashflow,600036.SH,segmented_period,20110630_0,1,False,True
cashflow,600036.SH,segmented_period,20110930_0,1,False,True
cashflow,600036.SH,segmented_period,20111231_0,1,False,True
cashflow,600036.SH,segmented_period,20120331_0,1,False,True
cashflow,600036.SH,segmented_period,20120630_0,1,False,True
cashflow,600036.SH,segmented_period,20120930_0,1,False,True
cashflow,600036.SH,segmented_period,20121231_0,1,False,True
cashflow,600036.SH,segmented_period,20130331_0,1,False,True
cashflow,600036.SH,segmented_period,20130630_0,1,False,True
cashflow,600036.SH,segmented_period,20130930_0,1,False,True
cashflow,600036.SH,segmented_period,20131231_0,1,False,True
cashflow,600036.SH,segmented_period,20140331_0,1,False,True
cashflow,600036.SH,segmented_period,20140630_0,1,False,True
cashflow,600036.SH,segmented_period,20140930_0,1,False,True
cashflow,600036.SH,segmented_period,20141231_0,1,False,True
cashflow,600036.SH,segmented_period,20150331_0,1,False,True
cashflow,600036.SH,segmented_period,20150630_0,1,False,True
cashflow,600036.SH,segmented_period,20150930_0,1,False,True
cashflow,600036.SH,segmented_period,20151231_0,1,False,True
cashflow,600036.SH,segmented_period,20160331_0,1,False,True
cashflow,600036.SH,segmented_period,20160630_0,1,False,True
cashflow,600036.SH,segmented_period,20160930_0,1,False,True
cashflow,600036.SH,segmented_period,20161231_0,1,False,True
cashflow,600036.SH,segmented_period,20170331_0,1,False,True
cashflow,600036.SH,segmented_period,20170630_0,1,False,True
cashflow,600036.SH,segmented_period,20170930_0,1,False,True
cashflow,600036.SH,segmented_period,20171231_0,1,False,True
fina_indicator,600036.SH,paginated_broad,broad_0,100,True,False
fina_indicator,600036.SH,paginated_broad,broad_1,68,False,True
fina_indicator,600036.SH,segmented_period,20100331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20100630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20100930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20101231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20110331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20110630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20110930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20111231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20120331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20120630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20120930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20121231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20130331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20130630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20130930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20131231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20140331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20140630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20140930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20141231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20150331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20150630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20150930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20151231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20160331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20160630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20160930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20161231_0,2,False,True
fina_indicator,600036.SH,segmented_period,20170331_0,2,False,True
fina_indicator,600036.SH,segmented_period,20170630_0,2,False,True
fina_indicator,600036.SH,segmented_period,20170930_0,2,False,True
fina_indicator,600036.SH,segmented_period,20171231_0,2,False,True
