window,sample,label,factor_a,factor_b,spearman_corr
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,ret_20__volatility_bucket_zscore,0.8194129820214165
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__raw,-0.42990892332151537
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__cs_rank,-0.3876258860817453
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__cs_zscore,-0.38966170410385614
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__liquidity_bucket_zscore,-0.3714770314207018
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__volatility_bucket_zscore,-0.39086391145643806
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__amount_proxy_residual,-0.37785238182104575
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,rev_5__liquidity_volatility_residual,-0.2902725641488582
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__raw,0.18686107313089814
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__cs_rank,0.21934815571495425
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__cs_zscore,0.21586763827566005
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__liquidity_bucket_zscore,0.18249844603303883
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__volatility_bucket_zscore,0.11730511170107757
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__amount_proxy_residual,0.24684863998525491
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__raw,std_20__liquidity_volatility_residual,0.10904958658422956
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,ret_20__raw,0.892553547309142
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,ret_20__cs_zscore,0.9987806993151822
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,ret_20__liquidity_bucket_zscore,0.9700422258178444
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,ret_20__volatility_bucket_zscore,0.9240793248618528
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,ret_20__liquidity_volatility_residual,0.8559348226789054
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__raw,-0.3831435000815487
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__cs_rank,-0.4284586017929706
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__cs_zscore,-0.4277360861231197
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__liquidity_bucket_zscore,-0.4084523868136576
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__volatility_bucket_zscore,-0.4303936832913997
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__amount_proxy_residual,-0.4220526420301215
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,rev_5__liquidity_volatility_residual,-0.32322615750630745
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__raw,0.2286879038682071
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__cs_rank,0.24253334973209284
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__cs_zscore,0.24234645863227214
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__liquidity_bucket_zscore,0.2034376726903633
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__volatility_bucket_zscore,0.12807383414295445
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__amount_proxy_residual,0.271936724442436
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_rank,std_20__liquidity_volatility_residual,0.12347313316646816
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,ret_20__raw,0.8922565080496008
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,ret_20__liquidity_bucket_zscore,0.9705521918029452
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,ret_20__volatility_bucket_zscore,0.9228885711791526
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,ret_20__liquidity_volatility_residual,0.8548893106655973
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__raw,-0.3836394189292121
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__cs_rank,-0.42794777339743484
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__cs_zscore,-0.42765611437871065
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__liquidity_bucket_zscore,-0.40824010205273614
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__volatility_bucket_zscore,-0.4295465188180237
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__amount_proxy_residual,-0.42099059959809576
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,rev_5__liquidity_volatility_residual,-0.3223451182456482
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,std_20__raw,0.22813065858434287
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,std_20__cs_rank,0.24232513227323316
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,std_20__cs_zscore,0.24221053124310948
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,std_20__liquidity_bucket_zscore,0.20315890792039956
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,std_20__volatility_bucket_zscore,0.1277394207821804
main_research_2021_2023,tradable_only,label_20d_t1,ret_20__cs_zscore,std_20__amount_proxy_residual,0.2716757033193656
