pool_name,factor,role,included,pool_reason,judgement_label,signal_label,signal_reason,category,consensus_direction,primary_rank_ic,primary_abs_rank_ic,max_abs_rank_ic,max_abs_rank_icir,max_rank_ic_win_rate,coverage,missing_rate,issue_tags,high_turnover,unstable_context,context_reason,low_monotonicity,cluster_id,cluster_representative,is_cluster_representative,is_redundant,turnover_top1_max,turnover_top5_max,strongest_corr_factor,strongest_abs_corr,source_judgement_board
alpha158_full_v1,alpha158_MIN60,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0999449576003777,0.0999449576003777,0.0999449576003777,0.590823177943158,0.6914600550964187,0.9964080406020476,0.0035919593979524,,False,False,,False,,,False,False,0.2442414594567421,0.4081040444593011,alpha158_QTLD60,0.8655365176342892,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_QTLD60,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0978259424893875,0.0978259424893875,0.0978259424893875,0.5929756424490524,0.7038567493112947,0.9964080406020476,0.0035919593979524,,False,False,,False,C011,alpha158_QTLD60,True,False,0.221080317252402,0.4032707114220358,alpha158_MA60,0.9256941753346656,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_ROC60,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.083509481252407,0.083509481252407,0.083509481252407,0.506687102706035,0.7052341597796143,0.9942706969436236,0.0057293030563765,,False,False,,False,C016,alpha158_ROC60,True,False,0.184241260663783,0.3262284968774419,alpha158_SUMN60,0.9631415871575644,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_MIN30,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0832578088781481,0.0832578088781481,0.0832578088781481,0.5352996962313272,0.6584022038567493,0.9964080406020476,0.0035919593979524,,False,False,,False,C012,alpha158_MIN30,True,False,0.3068813862838233,0.5064786603741992,alpha158_MIN20,0.919988148083926,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_ROC30,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0805966106610472,0.0805966106610472,0.0805966106610472,0.5063810283413374,0.6666666666666666,0.994231416707194,0.005768583292806,,False,False,,False,C015,alpha158_ROC30,True,False,0.2137466176420164,0.3962922540278984,alpha158_SUMP30,0.9507326700080764,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_QTLD30,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0728628360003132,0.0728628360003132,0.0728628360003132,0.4919972852959784,0.6652892561983471,0.9964080406020476,0.0035919593979524,,False,False,,False,C009,alpha158_QTLD30,True,False,0.2727034627239971,0.5284145028544607,alpha158_MA30,0.92478497868817,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_IMIN60,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.068445396648222,0.068445396648222,0.068445396648222,0.5566117452122042,0.6639118457300276,0.99881161697405,0.0011883830259499,,False,False,,False,,,False,False,0.1833208501203764,0.4226754330468742,alpha158_IMXD60,0.7107560017342294,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_MIN10,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0610407746042117,0.0610407746042117,0.0610407746042117,0.4462077713446372,0.6611570247933884,0.9964080406020476,0.0035919593979524,,False,False,,False,,,False,False,0.4501207018640345,0.6795084928092833,alpha158_MIN20,0.8508501118055579,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_IMIN30,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0578584847189305,0.0578584847189305,0.0578584847189305,0.4563757928409473,0.6487603305785123,0.998687541306598,0.0013124586934021,,False,False,,False,,,False,False,0.2893127488465885,0.6409538239555144,alpha158_IMXD30,0.7276986500703096,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_MIN5,alpha_candidate,True,strong_signal_accepted,strong_signal,strong_signal,passes_strong_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0558017301255341,0.0558017301255341,0.0558017301255341,0.4244547696617938,0.6556473829201102,0.9964080406020476,0.0035919593979524,low_monotonicity,False,False,,True,,,False,False,0.5577983725550165,0.764850575814601,alpha158_MIN10,0.8463321560751126,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_IMIN20,alpha_candidate,True,consistent_signal_accepted,consistent_signal,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.040907714240501,0.040907714240501,0.040907714240501,0.3613835822362033,0.6253443526170799,0.9984873991495518,0.0015126008504482,,False,False,,False,,,False,False,0.3892404938571182,0.7757827226863797,alpha158_IMXD20,0.7404197078386383,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
alpha158_full_v1,alpha158_QTLD10,alpha_candidate,True,consistent_signal_accepted,consistent_signal,consistent_signal,passes_consistent_rank_ic_icir_winrate_agreement,alpha158_rolling_price,positive,0.0388712097590184,0.0388712097590184,0.0394298039574947,0.2956392321310163,0.5977961432506887,0.9964080406020476,0.0035919593979524,low_monotonicity,False,False,,True,C008,alpha158_QTLD10,True,False,0.4403634996809292,0.7498154569381476,alpha158_MA10,0.9228425031576176,outputs\factor_judgement_alpha158_v1\full158\alpha158_judgement_board.csv
