workload_id,thread_count,repeat,candidate_sha256,reference_thread_count,reference_repeat,comparison_kind,tree_topology_identical,leaf_paths_identical,leaf_value_max_abs_difference,leaf_value_mean_abs_difference,leaf_values_exact,prediction_exact,prediction_max_abs_difference,prediction_mean_abs_difference,prediction_rmse,prediction_pearson,prediction_spearman,daily_prediction_rank_agreement_mean,daily_prediction_rank_agreement_min,daily_rank_ic_exact,daily_rank_ic_max_abs_difference,mean_daily_rank_ic_abs_difference,daily_rank_ic_ir_abs_difference,candidate_ordering_identical,selected_candidate_identical,exact_parity,scientific_parity,first_divergence
split_001__strict_current_baseline,2,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,2,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,2,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,2,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,2,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,2,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,4,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__strict_current_baseline,8,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,1,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,2,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,4,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__current_plus_existing_conditional_signal,8,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,8,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,reference,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,1,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,2,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,2,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,0,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,1,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,1,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,1,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,4,1,28cd65e113ad52527ff34ec9268ee4a5cbd286d9a81c838fda2e8d86b897980a,4,0,same_thread_repeat,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,8,0,cc064e736c3b291ee2940655e6be0a1bafde3fdb42ecea2b53a5d7e65c9838cc,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,8,0,82515221150f99d2de755f013964fa0364b546028d74e42fd381207f424e37a6,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
split_001__broad_data_qualified,8,0,208f3e7b1174ae2c374720124ed67dc92d228e0c6708c5b400a107e0498dfcd2,1,0,cross_thread,True,True,0.0,0.0,True,True,0.0,0.0,0.0,1.0,1.0,1.0,0.9999999999999998,True,0.0,0.0,0.0,True,True,True,True,none
