outer_split_id,factor,factor_column,feature_order
split_001,alpha158_BETA10,alpha158_BETA10,0
split_001,alpha158_BETA5,alpha158_BETA5,1
split_001,alpha158_CNTD30,alpha158_CNTD30,2
split_001,alpha158_CNTP60,alpha158_CNTP60,3
split_001,alpha158_CORD10,alpha158_CORD10,4
split_001,alpha158_CORD20,alpha158_CORD20,5
split_001,alpha158_CORD5,alpha158_CORD5,6
split_001,alpha158_CORD60,alpha158_CORD60,7
split_001,alpha158_CORR10,alpha158_CORR10,8
split_001,alpha158_CORR20,alpha158_CORR20,9
split_001,alpha158_CORR5,alpha158_CORR5,10
split_001,alpha158_HIGH0,alpha158_HIGH0,11
split_001,alpha158_IMIN20,alpha158_IMIN20,12
split_001,alpha158_KLEN,alpha158_KLEN,13
split_001,alpha158_KLOW,alpha158_KLOW,14
split_001,alpha158_KMID,alpha158_KMID,15
split_001,alpha158_KUP,alpha158_KUP,16
split_001,alpha158_LOW0,alpha158_LOW0,17
split_001,alpha158_MAX5,alpha158_MAX5,18
split_001,alpha158_MIN10,alpha158_MIN10,19
split_001,alpha158_QTLD60,alpha158_QTLD60,20
split_001,alpha158_RSQR30,alpha158_RSQR30,21
split_001,alpha158_VMA30,alpha158_VMA30,22
split_001,alpha158_VMA60,alpha158_VMA60,23
split_001,alpha158_VSUMD60,alpha158_VSUMD60,24
split_001,alpha360_LOW1,alpha360_LOW1,25
split_001,alpha360_VOLUME13,alpha360_VOLUME13,26
split_001,amount_cv_20,amount_cv_20,27
split_001,amount_std_20,amount_std_20,28
split_001,corr_ret_amount_20,corr_ret_amount_20,29
split_001,kunquant_alpha101_alpha003,kunquant_alpha101_alpha003,30
split_001,kunquant_alpha101_alpha011,kunquant_alpha101_alpha011,31
split_001,kunquant_alpha101_alpha012,kunquant_alpha101_alpha012,32
split_001,kunquant_alpha101_alpha013,kunquant_alpha101_alpha013,33
split_001,kunquant_alpha101_alpha020,kunquant_alpha101_alpha020,34
split_001,kunquant_alpha101_alpha029,kunquant_alpha101_alpha029,35
split_001,kunquant_alpha101_alpha034,kunquant_alpha101_alpha034,36
split_001,kunquant_alpha101_alpha050,kunquant_alpha101_alpha050,37
split_001,kunquant_alpha101_alpha055,kunquant_alpha101_alpha055,38
split_001,kunquant_alpha101_alpha062,kunquant_alpha101_alpha062,39
