batch_id,status,returncode,factor_count,factors,config_path,output_dir,started_at,ended_at,elapsed_seconds
batch_001,planned,,5,"alpha360_CLOSE59,alpha360_CLOSE58,alpha360_CLOSE57,alpha360_CLOSE56,alpha360_CLOSE55",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_001.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_001,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_002,planned,,5,"alpha360_CLOSE54,alpha360_CLOSE53,alpha360_CLOSE52,alpha360_CLOSE51,alpha360_CLOSE50",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_002.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_002,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_003,planned,,5,"alpha360_CLOSE49,alpha360_CLOSE48,alpha360_CLOSE47,alpha360_CLOSE46,alpha360_CLOSE45",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_003.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_003,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_004,planned,,5,"alpha360_CLOSE44,alpha360_CLOSE43,alpha360_CLOSE42,alpha360_CLOSE41,alpha360_CLOSE40",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_004.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_004,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_005,planned,,5,"alpha360_CLOSE39,alpha360_CLOSE38,alpha360_CLOSE37,alpha360_CLOSE36,alpha360_CLOSE35",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_005.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_005,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_006,planned,,5,"alpha360_CLOSE34,alpha360_CLOSE33,alpha360_CLOSE32,alpha360_CLOSE31,alpha360_CLOSE30",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_006.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_006,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_007,planned,,5,"alpha360_CLOSE29,alpha360_CLOSE28,alpha360_CLOSE27,alpha360_CLOSE26,alpha360_CLOSE25",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_007.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_007,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_008,planned,,5,"alpha360_CLOSE24,alpha360_CLOSE23,alpha360_CLOSE22,alpha360_CLOSE21,alpha360_CLOSE20",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_008.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_008,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_009,planned,,5,"alpha360_CLOSE19,alpha360_CLOSE18,alpha360_CLOSE17,alpha360_CLOSE16,alpha360_CLOSE15",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_009.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_009,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_010,planned,,5,"alpha360_CLOSE14,alpha360_CLOSE13,alpha360_CLOSE12,alpha360_CLOSE11,alpha360_CLOSE10",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_010.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_010,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
batch_011,planned,,5,"alpha360_CLOSE9,alpha360_CLOSE8,alpha360_CLOSE7,alpha360_CLOSE6,alpha360_CLOSE5",E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\generated_configs\batch_011.yaml,E:\qlib_prj\qlib_baseline\outputs\factor_evaluation_batch_v1\alpha360_candidate358_batch1\runs\batch_011,2026-06-28T02:02:10,2026-06-28T02:02:10,0.0
